PROCÉDURE O

L’affaire O
a O
été O
déférée O
à O
la O
Cour O
par O
la O
Commission O
européenne O
des O
Droits O
de O
l’Homme O
( O
" O
la O
Commission O
" O
) O
le O
12 B-DATETIME
juillet I-DATETIME
1993 I-DATETIME
, O
puis O
par O
le O
gouvernement O
du O
Royaume O
- O
Uni O
de O
Grande O
- O
Bretagne O
et O
d’Irlande O
du O
Nord O
( O
" O
le O
Gouvernement O
" O
) O
le O
3 B-DATETIME
août I-DATETIME
1993 I-DATETIME
, O
dans O
le O
délai O
de O
trois O
mois O
qu’ouvrent O
les O
articles O
32 O
par O
. O
1 O
et O
47 O
( O
art O
. O
32 O
- O
1 O
, O
art O
. O
47 O
) O
de O
la O
Convention O
. O

A O
son O
origine O
se O
trouve O
une O
requête O
( O
no O
18949 B-CODE
/ I-CODE
91 I-CODE
) O
dirigée O
contre O
le O
Royaume O
- O
Uni O
et O
dont O
un O
ressortissant O
de O
cet O
Etat O
, O
M B-PER
. I-PER
Peter I-PER
Maxwell I-PER
, O
avait O
saisi O
la O
Commission O
le O
25 B-DATETIME
mars I-DATETIME
1991 I-DATETIME
en O
vertu O
de O
l’article O
25 O
( O
art O
. O
25 O
) O
. O

La O
demande O
de O
la O
Commission O
renvoie O
aux O
articles O
44 O
et O
48 O
( O
art O
. O
44 O
, O
art O
. O
48 O
) O
ainsi O
qu’à O
la O
déclaration O
britannique O
reconnaissant O
la O
juridiction O
obligatoire O
de O
la O
Cour O
( O
article O
46 O
) O
( O
art O
. O
46 O
) O
, O
la O
requête O
du O
Gouvernement O
au O
seul O
article O
48 O
( O
art O
. O
48 O
) O
. O

Elles O
ont O
pour O
objet O
d’obtenir O
une O
décision O
sur O
le O
point O
de O
savoir O
si O
les O
faits O
de O
la O
cause O
révèlent O
un O
manquement O
de O
l’Etat O
défendeur O
aux O
exigences O
de O
l’article O
6 O
par O
. O
3 O
c O
) O
( O
art O
. O
6 O
- O
3 O
-c O
) O
. O

En O
réponse O
à O
l’invitation O
prévue O
à O
l’article O
33 O
par O
. O
3 O
d O
) O
du O
règlement O
A O
, O
le O
requérant O
a O
indiqué O
, O
par O
une O
lettre O
portant O
le O
cachet O
de O
la O
poste O
du O
22 B-DATETIME
juillet I-DATETIME
1993 I-DATETIME
, O
qu’il O
ne O
souhaitait O
pas O
participer O
à O
l’instance O
. O

Le O
17 B-DATETIME
novembre I-DATETIME
1993 I-DATETIME
, O
il O
a O
présenté O
une O
demande O
de O
satisfaction O
équitable O
( O
article O
50 O
par O
. O
1 O
combiné O
avec O
le O
paragraphe O
k O
) O
de O
l’article O
1 O
du O
règlement O
A O
) O
. O

Le O
23 B-DATETIME
août I-DATETIME
1993 I-DATETIME
, O
le O
président O
de O
la O
Cour O
a O
décidé O
qu’il O
y O
avait O
lieu O
de O
confier O
à O
une O
chambre O
unique O
( O
article O
21 O
par O
. O
6 O
du O
règlement O
A O
) O
, O
dans O
l’intérêt O
d’une O
bonne O
administration O
de O
la O
justice O
, O
l’examen O
de O
la O
présente O
cause O
et O
de O
l’affaire O
Boner O
c O
. O
Royaume O
- O
Uni O
( O
no O
30 O
/ O
1993 O
/ O
425 O
/ O
504 O
) O
. O

La O
chambre O
à O
constituer O
comprenait O
de O
plein O
droit O
Sir B-PER
John I-PER
Freeland I-PER
, O
juge O
élu O
de O
nationalité O
britannique O
( O
article O
43 O
de O
la O
Convention O
) O
( O
art O
. O
43 O
) O
, O
et O
M B-PER
. I-PER
R I-PER
. I-PER
Ryssdal I-PER
, O
président O
de O
la O
Cour O
( O
article O
21 O
par O
. O
3 O
b O
) O
du O
règlement O
A O
) O
. O

Le O
25 B-DATETIME
août I-DATETIME
1993 I-DATETIME
, O
celui O
- O
ci O
a O
tiré O
au O
sort O
le O
nom O
des O
sept O
autres O
membres O
, O
à O
savoir O
M B-PER
. I-PER
R I-PER
. I-PER
Macdonald I-PER
, O
M B-PER
. I-PER
J I-PER
. I-PER
De I-PER
Meyer I-PER
, O
Mme B-PER
E I-PER
. I-PER
Palm I-PER
, O
M B-PER
. I-PER
J I-PER
. I-PER
M I-PER
. I-PER
Morenilla I-PER
, O
M B-PER
. I-PER
F I-PER
. I-PER
Bigi I-PER
, O
M B-PER
. I-PER
A I-PER
. I-PER
B I-PER
. I-PER
Baka I-PER
et O
M B-PER
. I-PER
J I-PER
. I-PER
Makarczyk I-PER
, O
en O
présence O
du O
greffier O
( O
articles O
43 O
in O
fine O
de O
la O
Convention O
et O
21 O
par O
. O
4 O
du O
règlement O
A O
) O
( O
art O
. O
43 O
) O
. O

En O
sa O
qualité O
de O
